이벤트 이름|캐릭터 이름|대사|캐릭터 표정|다음 이벤트
녹림1|남궁혁|산 깊은 곳으로 들어온 건 분명한데...||
|남궁혁|분위기가 이게... 맞나?|#남궁_의문|
|나레이션|부릉, 부릉- 끼이익-!||
|녹림도1|이야아, 따악 봐도 부잣집 도련님인데 그래?||
|녹림도2|무사히 지나가게 해 줄 테니까... 알지? 응?||
|녹림도3|그래, 그래! 우리 구역에 들어왔으면 통행세를 내야지! 어? 딱 봐도 남의 땅인 거 안 보여?||
|남궁혁|너무 잘 보여서 문제로구만. 대체 산이 이게 뭔가?||
|녹림도4|입 다물어! 순순히 가진 걸 다 내놓으면 목숨만은 살려주마!||
|녹림도2|야야, 그렇게 말하면 어떡해! 도련님께서 겁이라도 먹으면 어떡하려고?||
|녹림도|크하하하!||
|남궁혁|자기들끼리 뭐라는 거야.|#남궁_귀찮|
|남궁혁|바빠. 지나가지.||
|녹림도1|어딜 가시려고. 야, 얘들아! 손님 받아라!||
|녹림도3|어디 주머니에 얼마나 있나 볼까~||
|녹림도4|세상에, 칼도 있잖아. 도련님께서 어떻게 칼은 휘두를 줄 아나?||
|남궁혁|귀찮게 구는군.||
|남궁혁|내가 검을 쓸 줄 아는지 궁금한 모양인데... 직접 보게 해 주지!|#남궁_자신감|
end||||녹림_잡몹
||||
녹림2|녹림도2|아야야... 이렇게 세다고?||
|녹림도1|누가 봐도 고운 옷감에 긴 머리면 오냐오냐 받고 자란 도련님 아니냐고!||
|남궁혁|멍청하긴. 그렇게 보는 눈이 없어서야 어찌 강호에서 살아남겠나.||
|녹림도4|야이씨, 옷감이라도 잡아 뜯어!! 한 푼이라도 건져야 할 거 아냐!!||
|나레이션|쾅!!||
|채주|퉤뭬!!! 왜 이렇게 시끄러워, 낮잠을 잘 수가 없잖아 코롸!!!!!!!|#채주_짜증|
|녹림도|히익!!! 두, 두, 두, 두, 두목...!||
|채주|아앙?! 죄다 왜 이렇게 뻗어있어?||
|채주|안 일어나냐고 젠장!!!!!!!!! 어디서 쪽팔리게!!!!!!!!|#채주_짜증|
|남궁혁|와. 말투 왜 저래.|#남궁_의문|
|채주|시끄러워!!!!!!!!!!!!!!!|#채주_짜증|
|채주|쓴맛을 보여주지!!!!!!!!!!! 와라, 애송이!!!!!!!||
|남궁혁|와...|#남궁_의문|
end||||녹림_보스
||||
녹림3|채주|형님!!!!!!!!!!!!!!!!!!||
|남궁혁|뭐, 뭐야.|#남궁_당황|
|녹림도|야, 야, 야! 빨리 가서 무릎 꿇어, 빨리빨리! 눈치 챙겨!||
|채주|제가 감히 형님께 건방지게 굴었습니다!!!! 죄송합니다!!!!!!!!!!! 한번만 살려주십쇼!!!!!!!!!!!!|#채주_비굴|
|녹림도|죄송합니다!!!!!!!!!!!!!!!!!!!!!!!!!!||
|남궁혁|시끄러우니 목소리 좀 줄이게나!|#남궁_귀찮|
|채주|죄송합니다...... 한번만 살려주십쇼......|#채주_비굴|
|남궁혁|이야... 극단적이구만. 근데, 자네. 말투가 원래 좀 이상하지 않았나?||
|채주|형님께서 싫어하시는 것 같아서 바로 치웠습니다.|#채주_웃음|
|남궁혁|음. 훨씬 듣기 좋구만.||
|채주|형님, 거...|#채주_눈치|
|남궁혁|뭔가.||
|채주|저희들이감히형님께건방지게굴긴했습니다만저희도먹고살자고하는짓이고|#채주_눈치|
||결과적으로형님께는아무것도빼앗지않았고오히려두드려맞기까지했으니한번만봐주시면안될까요|#채주_눈치|
end||||녹림_선택지
||||
녹림3-1|남궁혁|그렇게 틀린 말은 아니군.||
