이벤트 이름|캐릭터 이름|대사|캐릭터 표정|다음 이벤트
오프닝|나레이션|중원에 태어나 자신의 길을 무인으로서 걷겠다 다짐한 이들이라면 꿈꾸지 않을 수 없는 것이 있다.||
|나레이션|천하제일인 (天下第一人)||
|나레이션|입에 올리는 것만으로도 검을 쥔 손이 떨려오고 가슴이 뛰는 그것.||
|나레이션|이를 꿈꾸는 것은 안휘의 남궁세가에서 태어난 한 사내도 다르지 않았다.||
|남궁혁|가 볼까!||
|나레이션|하늘조차 놀라게 하는 검을 손에 쥐고서||
|나레이션|그는 자신이 걸음하여 끝내 무인들의 정점에 서게 될 중원을 바라보았다.||
|나레이션|그러나-||
|나레이션|중원의 끝에서 불어오는 붉고 거친 바람.||
|나레이션|걸음은 태풍의 눈 속으로 당당히 향할 것인가.||
|나레이션|아니면 그저 거친 폭풍에 밀려날 것인가.||
end||||튜토리얼_게임 시작
||||
튜토리얼1|남궁혁|...해서, 저번에 말씀드렸던 강호행의 준비가 끝났습니다.||
|남궁혁|안휘에는 재정비나 회복을 위해 중간중간 들를 듯 합니다.||
|남궁의 가주|어느덧 내일이구나. 시간이 빨라.||
|남궁의 가주|자신은 있느냐. 강호의 이름난 후기지수들과 겨룰 각오는 되어 있고.||
|남궁혁|예. 무인으로 태어난 바, 사내라면 응당 꿈을 꿀 정점이 아닙니까. 그 첫걸음이라 생각합니다.||
|남궁의 가주|그래. 남궁의 검을, 너의 검을 증명하고 오거라.||
|남궁의 가주|그런데...||
|남궁혁|무슨 일이라도 있습니까.|#가주_의문|
|남궁의 가주|그리 된다면 오래도록 너에게 가르침을 받을 수 없는 것을 아쉬워하는 녀석이 있지 않느냐.||
|남궁혁|아, 혹시...|#남궁_깨달음|
|남궁의 가주|본격적으로 강호의 문을 두드리기 전에 그 아이를 한번 더 봐 주지 않겠느냐.||
|남궁의 가주|너 또한 몸을 풀기에 좋을 테지. 얼마나 성장했는지 네가 봐 준다면 무척 기뻐할 게다.||
|남궁혁|좋습니다.||
end||||튜토리얼_연무장 이동
||||
튜토리얼1-1|남궁혁|유야, 있느냐.||
|남궁의 아이|아, 네, 네! 있습니다!||
|남궁혁|자, 연무장으로 가자. 검 끝이 얼마나 날카로워졌는지 봐 줄 테니까.||
|남궁혁|혹시 하던 일이 있었나?||
|남궁의 아이|아니요, 전혀 없습니다! 그럼 부탁드리겠습니다!||
end||||튜토리얼_전투
||||
튜토리얼2|남궁의 아이|허억, 허억...||
|남궁혁|잘 배웠군. 검을 휘두르기 전에 시선이 먼저 향하는 습관도 고쳐졌어.||
|남궁의 아이|가르침에 정말 감사드립니다!||
|남궁의 가주|멋지구나. 너도 이렇게 서툴 때가 있었는데... 어느새 이리 어엿한 무인이 되어서는.||
|남궁혁|언제적 이야기입니까, 그게...||
|남궁의 가주|하하!||
|남궁의 가주|계속 붙잡고 있으면 안 되겠지. 오래 떠나있을 것도 아닌 것을.||
|남궁의 가주|잘 다녀오거라. 안휘에 들를 때 시내에도 얼굴을 비춰주면 사람들이 좋아할 게야.||
|남궁혁|예, 가주님. 이 남궁혁, 남궁의 이름을 중원에 더욱 빛내고 오겠습니다.||
end||||튜토리얼_끝 준비
||||
|남궁혁|그럼...||
|남궁혁|가 볼까!||
end||||튜토리얼_끝
||||
