이벤트 이름|캐릭터 이름|대사|캐릭터 표정|다음 이벤트
튜토리얼_SC1.|남궁혁|...해서, 저번에 말씀드렸던 강호행의 준비가 끝났습니다.||
|남궁혁|안휘에는 재정비나 회복을 위해 중간중간 들를 듯 합니다.||
|남궁의 가주|어느덧 내일이구나. 시간이 빨라.||
|남궁의 가주|자신은 있느냐. 강호의 이름난 후기지수들과 겨룰 각오는 되어 있고.||
|남궁혁|예. 무인으로 태어난 바, 사내라면 응당 꿈을 꿀 정점이 아닙니까. 그 첫걸음이라 생각합니다.||
|남궁의 가주|그래. 남궁의 검을, 너의 검을 증명하고 오거라.||
|남궁의 가주|그런데...||
|남궁혁|무슨 일이라도 있습니까.|#의문|
|남궁의 가주|그리 된다면 오래도록 너에게 가르침을 받을 수 없는 것을 아쉬워하는 녀석이 있지 않느냐.||
|남궁혁|아, 혹시...|#깨달음|
|남궁의 가주|본격적으로 강호의 문을 두드리기 전에 그 아이를 한번 더 봐 주지 않겠느냐.||
|남궁의 가주|너 또한 몸을 풀기에 좋을 테지. 얼마나 성장했는지 네가 봐 준다면 무척 기뻐할 게다.||
|남궁혁|좋습니다. ||
end||||
||||
튜토리얼_SC1-1.|남궁혁|가솔, 있나?||
|남궁의 가솔|네, 도련님.||
|남궁혁|유에게 내가 한번 봐 줄 테니 연무장에서 기다리라고 전해주게나.||
|남궁의 가솔|알겠습니다.||
end||||
||||
튜토리얼_SC1-2.|남궁혁|유야, 있느냐.||
|남궁의 아이|네, 네! 있습니다!||
|남궁혁|네가 가르침을 받기를 많이 기다렸다지. 본격적으로 강호를 돌기 전에 봐 주도록 하마.||
|남궁혁|혹시 하던 일이 있었나?||
|남궁의 아이|아니요, 전혀 아닙니다! 그럼 부탁드리겠습니다!||
end|||튜토리얼_전투|
||||
튜토리얼_SC2.|남궁의 아이|허억, 허억...||
|남궁혁|잘 배웠군. 검을 휘두르기 전에 시선이 먼저 향하는 습관도 고쳐졌어.||
|남궁의 아이|가르침에 정말 감사드립니다!||
|남궁의 가주|멋지구나. 너도 이렇게 서툴 때가 있었는데... 어느새 이리 어엿한 무인이 되어서는.||
|남궁혁|언제적 이야기입니까, 그게...|#머쓱|
|남궁의 가주|하하! ||
|남궁의 가주|계속 붙잡고 있으면 안 되겠지. 오래 떠나있을 것도 아닌 것을.||
|남궁의 가주|잘 다녀오거라. 안휘에 들를 때 시내에도 얼굴을 비춰주면 사람들이 좋아할 게야.||
|남궁혁|예, 가주님. 이 남궁혁, 남궁의 이름을 중원에 더욱 빛내고 오겠습니다.||
||||
|남궁혁|그럼...||
|남궁혁 |가 볼까!|#웃음|
end||||
