이벤트 이름|인물|대사|캐릭터 표정|다음 이벤트||||||||
러끼|러끼|남궁혁~ 이번에 도장깨기 하러 간다면서! 문파깨기라고 해야 하나?|남궁혁_기본/*실루엣|||||||||
|남궁혁|음, 음! 강호에 나를 증명하러 가는 것이지.|*남궁혁_웃음/|||||||||
|러끼|이 스승님 이름에 먹칠하지 말라구~|/*|||||||||
|남궁혁|알겠소이다!|*/|||||||||
end||||||||||||
||||||||||||
마리안느|남궁 마리안느|시합에 나가신다고 들었어요, 아버지.|남궁혁_기본/*실루엣|||||||||
|남궁혁|그래, 남궁의 이름을 드높이고 오마.|*/|||||||||
|남궁 마리안느|올 때 선물 잊지 마세요, 미소로 떼울 생각 말구요!|/*|||||||||
|남궁혁|아,아! 물론이지! :)|*/|||||||||
end||||||||||||
||||||||||||
애비게일|애비게일|남궁세가로 돌아온 지 얼마나 되었다고 또 모험을 떠나는 거야?|남궁혁_기본/*실루엣|||||||||
|남궁혁|이번에는 천하제일인이 되기 위한 모험일세.|*/|||||||||
|애비게일|그렇구나, 더 강해져서 내 검술도 봐줘!|/*|||||||||
|남궁혁|펠리컨마을에서 못 한 비무, 꼭 해보지!|*/|||||||||
end||||||||||||
||||||||||||
세바스찬|세바스찬|아. 가는 거야?|남궁혁_기본/*실루엣|||||||||
|남궁혁|이미 알고 있었나? 소식이 빠르구만.|*/|||||||||
|세바스찬|당연하지. 잘 다녀와, 여보.|/*|||||||||
|남궁혁|...여...여보!?|*/|||||||||
end||||||||||||
||||||||||||
셰인|셰인|야, 남궁혁.|남궁혁_기본/*실루엣|||||||||
|남궁혁|뭔가.|*/|||||||||
|셰인|돌아오면... 나한테 시간 한 번만 내줄...|/*|||||||||
|남궁혁|아니, 싫소이다. 말도 걸지 말게.|*/|||||||||
end||||||||||||
||||||||||||
초텐|초텐|나를 두고 가지 마, P. 제발.|남궁혁_기본/*실루엣|||||||||
|남궁혁|......|*/|||||||||
|초텐|그렇게 가고 싶다면... 죽여서라도 내 곁에...|/*|||||||||
|남궁혁|어어, 어어어! 다음에 얘기하지, 다음에.|*/|||||||||
end||||||||||||
||||||||||||
민수하|민수하|대협, 바쁘세요?|남궁혁_기본/*실루엣|||||||||
|남궁혁|한동안은 그렇지. 중원에 가서 내 검을 시험해 볼 생각이네.|*/|||||||||
|민수하|아쉽네... 다음에 시간 나면 같이 마작이나 또 칠까요?|/*|||||||||
|남궁혁|음, 그럴까!|*/|||||||||
end||||||||||||
||||||||||||
요나&윤서|요나&윤서|아니, 대협! 죽을 때까지 GT-R이라면서요! 이 요상한 오토바이는 뭐에요!||||||||||
|요나&윤서|아...오토바이로 드리프트는 못 할 것 같은데요?||||||||||
|N34|(이 친구도 대사가 있나요…? 묘사를 위한 칸인지 대사를 위한 칸인지 궁금합니다.)||||||||||
end||||||||||||
||||||||||||
아빠킹&호무새|아빠킹&호무새|호우! 호우!||||||||||
|아빠킹&호무새|압부! 압부! (압도적으로 부정적!)||||||||||
end||||||||||||
||||||||||||
둥식&석두|둥식&석두|남기사님! 저 석둡니더... 식당 앞으로 좀 와 주실 수 있을까예?||||||||||
|둥식&석두|기사동생~ 나 석두 옆에 누워있어… 빨리 좀 와 줄 수 있나…?||||||||||
end||||||||||||
||||||||||||
라스|라스|(삼류무공이라는 포스트잇이 등에 붙어있다. 열심히 춤을 춘다.)||||||||||
|라스|흡, 떼아!||||||||||
end||||||||||||
||||||||||||
펭|펭|(특유의 포즈를 취한 채, 성능미남이라는 포스트잇이 등에 붙어있다.)||||||||||
|남궁혁|어떻게... 이렇게 생겼지?||||||||||
end||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
